OBJECTID;FORMULARIO;CODIGO_ACCIDENTADO;CODIGO_VICTIMA;CODIGO_VEHICULO;CONDICION;ESTADO;MUERTE_POSTERIOR;FECHA_POSTERIOR_MUERTE;GENERO;FECHA_NACIMIENTO;EDAD;CODIGO;CONDICION_VEHICULO;cod_accidente;OBJECTID-2;FORMULARIO-2;CODIGO_ACCIDENTE;FECHA_OCURRENCIA_ACC;HORA_OCURRENCIA_ACC;ANO_OCURRENCIA_ACC;MES_OCURRENCIA_ACC;DIA_OCURRENCIA_ACC;DIRECCION;GRAVEDAD;CLASE_ACC;LOCALIDAD;MUNICIPIO;FECHA_HORA_ACC;LATITUD;LONGITUD;CIV;PK_CALZADA
153593;712738300;156983;1;;PEATON;HERIDO;N;1/01/1975 1:00;MASCULINO;31/12/1977 19:00;29;21385-;PEATON;21385;;;;;;;;;;;;;;;;;;
153598;712739200;156988;1;;PEATON;HERIDO;N;1/01/1975 1:00;FEMENINO;25/12/1989 19:00;17;21394-;PEATON;21394;;;;;;;;;;;;;;;;;;
153642;712760700;157032;1;;PEATON;HERIDO;N;1/01/1975 1:00;MASCULINO;11/08/1952 19:00;54;21606-;PEATON;21606;;;;;;;;;;;;;;;;;;
153706;726483400;158998;2;1;PASAJERO;HERIDO;N;1/01/1975 1:00;MASCULINO;31/12/1982 19:00;24;27590-1;PASAJERO;27590;;;;;;;;;;;;;;;;;;
153707;726483400;158999;1;1;PASAJERO;HERIDO;N;1/01/1975 1:00;FEMENINO;25/06/1967 19:00;39;27590-1;PASAJERO;27590;;;;;;;;;;;;;;;;;;
153771;726510700;159063;1;;PEATON;MUERTO;;1/01/1975 1:00;FEMENINO;10/03/1988 19:00;19;27861-;PEATON;27861;;;;;;;;;;;;;;;;;;
154238;726550200;159149;1;1;PASAJERO;HERIDO;N;1/01/1975 1:00;FEMENINO;28/07/1987 19:00;19;28250-1;MOTOCICLISTA;28250;;;;;;;;;;;;;;;;;;
154447;727946700;163147;1;;PEATON;HERIDO;N;1/01/1975 1:00;MASCULINO;17/09/1951 19:00;56;42154-;PEATON;42154;;;;;;;;;;;;;;;;;;
154492;727976900;163192;1;1;PASAJERO;HERIDO;N;1/01/1975 1:00;MASCULINO;13/03/1989 19:00;18;42454-1;MOTOCICLISTA;42454;;;;;;;;;;;;;;;;;;
154736;834029200;27653;0;1;CONDUCTOR;ILESO;;1/01/1975 1:00;MASCULINO;3/09/1981 19:00;26;4610-1;CONDUCTOR;4610;;;;;;;;;;;;;;;;;;
154753;834608100;37796;0;1;CONDUCTOR;ILESO;;1/01/1975 1:00;MASCULINO;28/08/1966 19:00;41;10198-1;CONDUCTOR;10198;;;;;;;;;;;;;;;;;;
155021;728016800;163315;1;1;PASAJERO;HERIDO;N;1/01/1975 1:00;FEMENINO;31/12/1950 19:00;56;42851-1;PASAJERO;42851;;;;;;;;;;;;;;;;;;
155067;728036100;163361;1;;PASAJERO;HERIDO;N;1/01/1975 1:00;FEMENINO;13/07/1969 19:00;38;43041-;PASAJERO;43041;;;;;;;;;;;;;;;;;;
155163;828642700;19585;0;2;CONDUCTOR;ILESO;;1/01/1975 1:00;MASCULINO;25/11/1980 19:00;27;267-2;CONDUCTOR;267;;;;;;;;;;;;;;;;;;
155191;833900700;25269;0;2;CONDUCTOR;ILESO;;1/01/1975 1:00;MASCULINO;14/12/1974 19:00;33;3341-2;CONDUCTOR;3341;;;;;;;;;;;;;;;;;;
155385;833732000;22202;0;2;MOTOCICLISTA;HERIDO;N;1/01/1975 1:00;MASCULINO;29/09/1986 19:00;21;1687-2;MOTOCICLISTA;1687;;;;;;;;;;;;;;;;;;
155555;728066500;163441;1;;PEATON;HERIDO;N;1/01/1975 1:00;FEMENINO;18/08/1974 19:00;33;43345-;PEATON;43345;;;;;;;;;;;;;;;;;;
155740;834455100;35236;0;2;CONDUCTOR;ILESO;;1/01/1975 1:00;MASCULINO;13/06/1966 19:00;41;8766-2;CONDUCTOR;8766;;;;;;;;;;;;;;;;;;
155918;834512300;18635;1;;PEATON;HERIDO;N;1/01/1975 1:00;MASCULINO;15/01/1980 19:00;28;9315-;PEATON;9315;;;;;;;;;;;;;;;;;;
